"Prev.Length","Match.Score","Tile.Size","Prev.Type","Browse.Time"
75,95,0.2,"TT",14.8228727020421
75,95,0.5,"TT",13.4161558251195
75,50,0.2,"TT",15.8812510226311
40,95,0.2,"TT",10.9522383087167
75,95,0.2,"AC",20.8258879496805
75,95,0.2,"TT",13.3218144101885
75,95,0.5,"TT",15.8153674012505
75,50,0.2,"TT",16.2379722933973
40,95,0.2,"TT",13.3414725448414
75,95,0.2,"AC",20.2758548553394
75,95,0.2,"TT",14.6196146830454
75,95,0.5,"TT",14.3065694513518
75,50,0.2,"TT",16.0899242060102
40,95,0.2,"TT",13.3945268894589
75,95,0.2,"AC",18.9355307166939
75,95,0.2,"TT",14.3313788567971
75,95,0.5,"TT",15.4941228092936
75,50,0.2,"TT",16.1270292828755
40,95,0.2,"TT",15.4999486875142
75,95,0.2,"AC",20.6110460693804
75,95,0.2,"TT",14.1345016425308
75,95,0.5,"TT",14.2527129296001
75,50,0.2,"TT",15.9361378853135
40,95,0.2,"TT",12.5956085176242
75,95,0.2,"AC",20.0686347851262
75,95,0.2,"TT",14.1552078646924
75,95,0.5,"TT",14.4602415571031
75,50,0.2,"TT",16.9306865770174
40,95,0.2,"TT",14.2139941502049
75,95,0.2,"AC",19.948862841596
75,95,0.2,"TT",13.3936599814047
75,95,0.5,"TT",14.1804348211401
75,50,0.2,"TT",17.5015301557532
40,95,0.2,"TT",13.8887551784959
75,95,0.2,"AC",20.6045918462632
75,95,0.2,"TT",15.1745753624655
75,95,0.5,"TT",15.2340023100993
75,50,0.2,"TT",15.6623556606788
40,95,0.2,"TT",14.681676160827
75,95,0.2,"AC",20.3319984508013
75,95,0.2,"TT",16.0369547004515
75,95,0.5,"TT",14.3663740757367
75,50,0.2,"TT",14.9819321160353
40,95,0.2,"TT",14.2064034898991
75,95,0.2,"AC",19.8406211783456
75,95,0.2,"TT",14.6131801686459
75,95,0.5,"TT",15.069037316065
75,50,0.2,"TT",16.4354820234174
40,95,0.2,"TT",14.764753754077
75,95,0.2,"AC",19.0288700176321
75,95,0.2,"TT",13.6433977811295
75,95,0.5,"TT",14.2144925104909
75,50,0.2,"TT",16.1797010577365
40,95,0.2,"TT",14.6637969129692
75,95,0.2,"AC",20.5543071008786
75,95,0.2,"TT",15.3845651594989
75,95,0.5,"TT",14.813615924101
75,50,0.2,"TT",17.1607619778005
40,95,0.2,"TT",12.7509439339716
